;amber;amethyst;apricot;azure;black;blue;brown;burgundy;cerulean;cobalt;coffee;coral;crimson;emerald;grey;green;indigo;ivory;jade;lavender;lilac;lime;magenta;maroon;olive;orange;ochre;peach;pear;pink;plum;purple;red;rose;ruby;salmon;sapphire;scarlet;silvery;tan;teal;turquoise;violet;white;yellow
1;0;0;0;0;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;0;0;0;0;0;0;0;0;0;4;0
2;0;0;0;0;14;2;4;1;0;0;0;0;0;0;4;4;1;0;2;0;0;0;0;0;0;2;0;0;0;2;0;4;30;6;4;0;0;1;0;0;0;0;0;13;0
3;0;0;0;0;20;2;3;0;0;0;0;0;1;0;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;14;5;0;0;1;0;1;0;0;0;0;5;3
4;0;0;0;0;9;0;2;0;0;0;0;0;0;0;1;3;0;0;2;0;0;0;0;0;0;1;0;0;0;2;1;0;3;4;0;0;0;1;0;0;0;0;0;6;4
5;2;0;0;0;2;2;3;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;9;1;0;0;0;0;0;0;0;0;0;11;0
