;amber;amethyst;apricot;azure;black;blue;brown;burgundy;cerulean;cobalt;coffee;coral;crimson;emerald;grey;green;indigo;ivory;jade;lavender;lilac;lime;magenta;maroon;olive;orange;ochre;peach;pear;pink;plum;purple;red;rose;ruby;salmon;sapphire;scarlet;silvery;tan;teal;turquoise;violet;white;yellow
1;0;0;0;0;7;8;8;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;1;3
2;0;0;0;1;1;4;3;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9;6;0;0;0;0;0;0;0;0;0;4;3
3;0;0;0;0;1;2;5;0;0;0;0;0;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;5;1;0;3;0;0;0;0;0;0;0;3;0
4;0;0;0;0;3;0;4;0;0;0;0;0;0;0;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;9;5;0;0;0;0;0;0;0;0;0;3;0
5;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;1;3;1;0;0;0;0;0;0;0;0;0;1;1
6;0;0;0;0;5;1;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0
7;0;0;0;0;10;4;7;0;0;0;0;0;1;0;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;5;2;0;1;0;0;1;0;0;0;0;6;1
8;0;0;0;0;5;4;7;0;0;0;0;0;0;0;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;9;9;2;0;1;0;0;0;0;0;0;2;4
