;amber;amethyst;apricot;azure;black;blue;brown;burgundy;cerulean;cobalt;coffee;coral;crimson;emerald;grey;green;indigo;ivory;jade;lavender;lilac;lime;magenta;maroon;olive;orange;ochre;peach;pear;pink;plum;purple;red;rose;ruby;salmon;sapphire;scarlet;silvery;tan;teal;turquoise;violet;white;yellow
1;0;0;0;0;4;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;9;2;0;0;0;0;0;0;0;0;0;5;0
2;0;0;0;0;10;0;0;0;0;0;0;0;4;1;5;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0;0;0;8;1
3;0;0;0;1;3;2;5;0;0;0;0;0;1;0;0;5;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;6;4;0;0;0;0;1;0;0;0;0;8;1
4;0;0;0;0;11;2;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;8;5;0;0;0;0;1;0;0;0;0;8;1
5;0;0;0;0;11;0;2;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;4;3;0;0;0;0;1;0;0;0;0;5;0
6;0;0;0;0;2;4;5;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;11;3;0;0;0;0;0;0;0;0;0;7;0
7;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;7;3;2;0;0;0;0;0;0;0;3;3;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;7;3
9;0;0;0;0;8;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;2;0;0;0;0;0;0;0;0;0;8;0
10;0;0;0;0;2;4;3;0;0;0;0;0;0;0;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;0;0;0;0;0;0;0;0;0;3;2
11;0;0;0;0;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;3;0
12;0;0;0;0;1;0;1;0;0;0;0;0;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;5;0;0;0;0;0;0;0;0;0;6;1
