;amber;amethyst;apricot;azure;black;blue;brown;burgundy;cerulean;cobalt;coffee;coral;crimson;emerald;grey;green;indigo;ivory;jade;lavender;lilac;lime;magenta;maroon;olive;orange;ochre;peach;pear;pink;plum;purple;red;rose;ruby;salmon;sapphire;scarlet;silvery;tan;teal;turquoise;violet;white;yellow
1;0;0;0;0;7;1;0;0;0;0;0;0;0;0;2;3;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;1;7;2;0;0;0;0;0;0;0;0;2;0;2
2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;2;0;0;0;0;0;0;1
3;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;3;1;0;2;0;1;0;0;0;0;1;0;0;0;1;0;1;5;2;0;0;0;1;0;0;0;0;0;1;1
4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3;0
5;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;4;0;0;0;2;1;0;0;0;0;0;0
6;0;0;0;0;6;2;0;0;0;0;0;0;0;0;1;3;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;8;3;0;0;0;1;0;0;0;0;0;2;1
7;0;0;0;0;6;1;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;8;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;11;2;0;0;0;1;0;0;0;0;0;1;0
9;0;1;0;0;6;2;0;0;0;0;0;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;1;0;0;0;0;1;1;0
10;0;0;0;0;6;2;1;0;0;0;0;0;2;0;2;1;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;1;8;2;0;0;0;1;0;0;0;0;0;0;3
11;0;0;0;0;10;2;1;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;8;1;0;0;0;1;0;0;0;0;0;7;0
12;0;0;0;0;9;3;0;0;0;0;0;0;0;0;2;5;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0;0;1;1;1
13;3;2;0;0;5;4;0;0;0;0;0;0;0;0;1;2;0;2;5;0;0;0;0;0;1;1;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;0;0;2;1
14;0;0;0;0;8;9;0;0;0;0;0;0;0;1;4;2;5;0;0;0;1;0;0;0;0;3;0;0;0;2;0;1;4;2;1;0;0;0;1;0;0;0;0;2;0
15;0;0;0;1;3;1;6;0;0;0;0;0;0;1;0;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;4;1
16;1;0;0;1;7;4;2;0;0;0;0;0;0;0;4;21;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;7;0;0;0;0;1;2;0;0;0;0;11;2
17;2;0;0;0;6;5;3;0;0;0;0;0;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;1;16;1;0;0;0;0;0;0;0;0;0;5;2
18;3;0;0;0;16;0;0;0;0;0;0;0;0;0;2;6;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;12;2;0;0;0;1;0;0;0;0;1;2;1
19;0;0;0;0;5;5;0;0;0;0;0;0;0;0;13;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;4;8
20;0;0;0;0;4;3;21;0;0;0;0;0;0;0;9;4;0;0;0;0;0;0;0;0;4;0;0;0;0;1;2;0;9;2;0;0;0;0;0;0;0;0;0;9;2
21;0;0;0;0;2;2;9;0;0;1;0;0;0;0;6;2;3;2;1;0;0;1;0;0;0;1;0;0;0;1;0;6;9;1;0;0;0;1;0;0;0;0;0;1;2
22;2;0;0;0;2;3;5;0;0;0;0;0;0;0;9;6;0;1;1;0;0;0;0;1;1;0;0;0;2;0;0;4;4;2;0;0;0;0;0;0;0;0;0;6;5
23;2;0;0;0;2;3;5;0;0;0;0;0;0;0;9;5;0;1;1;0;0;0;0;1;1;0;0;0;2;0;0;4;4;3;0;0;0;0;0;0;0;0;0;6;5
24;0;0;0;0;5;2;0;0;0;0;0;0;0;0;6;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;4;5;0;0;0;1;1;0;0;0;1;2;1
25;0;0;1;0;5;5;2;0;0;0;0;1;0;0;4;1;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;1;5;3;0;0;0;0;0;0;0;0;1;1;2
