;'amber';'amethyst';'apricot';'azure';'black';'blue';'brown';'burgundy';'cobalt';'coral';'crimson';'emerald';'grey';'green';'indigo';'ivory';'jade';'lavender';'lilac';'lime';'magenta';'maroon';'olive';'orange';'ochre';'peach';'pear';'pink';'plum';'purple';'red';'rose';'ruby';'salmon';'sapphire';'scarlet';'silvery';'tan';'teal';'turquoise';'violet';'white';'yellow';
'DAVOS';1;0;0;0;97;15;22;0;0;0;2;1;24;45;0;1;4;0;0;1;0;0;3;10;0;5;0;7;0;5;112;30;7;1;1;2;2;0;0;0;0;103;16;517
'REEK';0;0;0;0;15;3;5;0;0;0;0;0;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;12;3;0;0;0;0;0;0;0;0;0;15;5;83
'VICTARION';1;0;0;0;19;2;0;0;0;0;0;0;2;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;2;2;42
'SANSA';0;3;0;0;74;23;14;3;0;0;21;1;27;36;1;5;2;0;1;0;0;0;1;11;0;0;2;8;2;11;78;30;4;0;0;4;5;0;0;1;0;89;20;477
'BRIENNE';0;0;0;1;35;23;37;0;0;0;2;0;30;22;0;0;0;0;0;0;0;0;0;7;0;0;0;7;0;3;50;27;2;4;1;0;1;0;0;0;0;20;12;284
'MELISANDRE';0;0;0;0;21;3;7;0;0;0;0;0;10;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;13;5;7;0;0;1;0;0;0;0;0;6;0;78
'EDDARD';0;0;0;0;57;17;10;0;0;0;6;3;20;9;0;0;0;1;0;0;0;0;0;1;0;0;0;3;2;6;45;15;1;0;1;1;1;0;0;0;0;36;4;239
'TYRION';4;1;0;0;236;40;83;1;0;0;27;2;63;90;0;2;11;2;0;2;0;2;2;20;1;0;0;29;3;37;223;73;4;0;1;8;8;0;0;0;5;152;68;1200
'SAMWELL';1;0;0;0;147;13;15;2;0;0;0;0;22;12;0;0;4;0;0;0;0;0;0;8;0;0;0;3;0;8;60;19;0;0;0;2;1;0;0;0;0;53;10;380
'CERSEI';0;0;0;1;70;36;21;0;1;0;11;1;18;17;0;3;4;0;0;0;0;0;4;3;0;0;0;10;1;2;69;34;0;0;0;0;3;0;0;0;0;68;9;386
'ALAYNE';0;0;0;0;6;15;6;0;0;0;0;0;8;3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;10;5;1;0;0;0;2;0;0;0;0;16;0;76
'JAIME';0;1;0;0;81;19;38;0;0;0;17;1;49;33;0;1;1;2;0;0;0;0;0;2;0;3;2;18;1;5;106;19;4;1;5;2;2;0;0;0;0;111;10;534
'CATELYN';0;0;0;0;63;39;19;0;2;0;5;3;80;46;2;0;2;0;0;0;0;0;0;7;0;3;0;4;0;4;83;29;3;0;0;2;4;0;0;0;1;72;10;483
'DAENERYS';14;3;2;2;177;85;104;1;2;1;2;2;107;130;10;14;24;1;7;1;0;4;11;21;0;1;9;13;3;39;199;65;1;0;0;17;6;0;0;0;7;99;58;1242
'THEON';0;0;0;0;61;3;8;0;0;0;0;0;25;24;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;27;14;0;0;1;0;2;0;0;0;1;25;1;198
'ARYA';0;0;0;0;161;20;32;0;0;0;8;0;56;41;0;1;0;0;0;0;0;0;0;10;0;9;0;23;0;17;138;21;3;0;0;2;3;1;0;0;0;77;32;655
'BRAN';0;0;0;0;166;21;26;0;0;0;0;0;100;60;0;0;1;0;0;0;0;0;0;6;0;1;0;7;0;2;69;29;2;2;0;3;3;0;0;0;0;101;10;609
'JON';4;0;0;0;494;48;43;0;2;0;5;1;110;51;1;1;4;0;0;1;0;0;1;16;0;1;0;28;1;9;219;63;15;1;0;7;1;0;0;0;0;165;26;1318
