,arya,barristan,beric,bran,bronn,brienne,cersei,craster,daario,daenerys,drogo,eddard,hodor,jaime,joffrey,jorah,melisandre,petyr,rickon,robb,catelyn,sansa,stannis,tyrion,tywin,varys,viserys,ygritte,yoren,davos,margaery
green,32,1,2,44,4,16,29,1,1,5,5,3,4,39,16,13,4,3,2,25,31,29,23,64,25,3,4,6,0,38,8
indigo,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0
ivory,3,0,0,0,0,0,5,0,0,1,0,0,0,0,3,1,0,0,0,0,0,5,0,1,0,1,3,0,0,1,2
jade,0,0,0,0,2,0,3,0,0,3,2,0,0,1,0,4,1,0,0,0,1,1,0,5,1,0,4,0,0,2,2
lavender,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,6,1,0,0,0,0
lilac,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
maroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
olive,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
orange,14,0,1,5,0,5,2,0,0,4,2,0,2,4,2,5,4,3,1,1,8,12,12,10,2,2,0,1,1,9,0
ochre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
peach,5,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0
pear,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
pink,20,0,2,4,1,7,9,3,1,2,0,0,3,13,1,1,0,2,0,4,5,7,5,22,2,3,0,2,0,5,0
plum,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,2
purple,23,3,4,1,1,0,5,0,12,7,2,0,0,7,3,0,0,2,0,1,0,12,2,36,4,0,1,1,0,5,1
red,128,10,27,51,22,50,53,0,3,16,19,16,35,100,40,27,70,5,11,44,56,61,128,142,43,16,9,26,13,88,8
rose,14,7,2,17,1,9,25,1,6,2,12,3,13,29,6,7,11,5,0,7,23,30,15,45,24,4,2,2,2,22,18
ruby,2,0,2,0,0,0,0,0,0,0,0,0,0,2,3,0,15,1,0,2,1,1,6,2,6,0,0,1,0,2,0
salmon,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sapphire,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
scarlet,3,0,1,0,0,0,1,0,0,1,0,0,0,0,2,7,2,0,0,0,2,0,1,4,1,1,2,0,0,5,0
silvery,2,1,1,3,0,3,4,0,0,1,0,0,0,5,2,0,0,1,0,0,2,7,0,3,1,1,2,0,0,0,3
tan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
turquoise,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
violet,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0
white,68,44,2,97,10,13,66,5,5,9,12,13,39,110,34,12,9,10,8,46,51,72,58,114,23,10,5,7,3,77,15
yellow,27,3,5,6,2,11,4,1,2,6,1,0,3,10,2,11,3,1,2,3,7,10,15,34,3,2,0,1,2,11,1
,625,109,69,487,79,212,331,30,70,98,88,87,156,499,189,165,160,81,65,303,363,410,417,798,186,77,54,81,63,428,89
