;amber;amethyst;apricot;azure;black;blue;brown;burgundy;cerulean;cobalt;coffee;coral;crimson;emerald;grey;green;indigo;ivory;jade;lavender;lilac;lime;magenta;maroon;olive;orange;ochre;peach;pear;pink;plum;purple;red;rose;ruby;salmon;sapphire;scarlet;silvery;tan;teal;turquoise;violet;white;yellow
aegon;0;0;0;0;20;1;2;0;0;0;0;0;3;0;0;1;0;4;6;0;0;0;0;0;0;2;0;0;2;0;0;0;14;4;0;0;0;1;0;0;0;0;0;6;0
targaryen;0;1;0;0;22;4;1;0;0;0;0;0;1;0;4;6;0;1;5;0;0;0;0;0;1;2;0;0;0;0;0;4;21;5;0;1;0;3;2;0;0;0;0;4;1
aemon;0;0;0;0;35;1;0;0;0;0;0;0;0;0;4;2;0;0;7;0;0;1;0;0;0;0;0;0;0;2;0;0;16;3;0;0;0;0;0;0;0;0;0;18;1
frey;0;0;0;0;18;17;5;1;0;0;0;0;1;0;25;10;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;27;4;5;0;0;0;4;0;0;0;0;16;0
greyjoy;0;0;0;0;25;1;3;0;0;0;0;0;0;0;17;5;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;9;9;1;0;0;0;0;0;0;0;0;10;0
aerys;0;0;0;0;9;0;2;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;9;5;0;0;2;0;0;0;0;0;0;27;0
alester;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0
alliser;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;2;0;0;0;1;0;0;0;0;0;2;0
thorne;0;0;0;0;9;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;1;0;0;0;0;0;2;0
arya;0;0;0;0;146;21;54;0;0;0;0;0;8;0;55;32;0;3;0;0;0;0;0;0;0;14;0;5;0;20;0;23;128;14;2;0;0;3;2;0;0;0;0;68;27
asha;0;0;0;0;10;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0
