;amber;amethyst;apricot;azure;black;blue;brown;burgundy;cerulean;cobalt;coffee;coral;crimson;emerald;grey;green;indigo;ivory;jade;lavender;lilac;lime;magenta;maroon;olive;orange;ochre;peach;pear;pink;plum;purple;red;rose;ruby;salmon;sapphire;scarlet;silvery;tan;teal;turquoise;violet;white;yellow
1;0.295411;0.295411;0.0;0.0;112.551591;25.109935;15.361372;0.295411;0.0;0.0;0.0;0.0;6.499042;1.477055;49.038226;26.58699;1.181644;0.886233;2.363288;0.295411;1.477055;0.0;0.0;0.0;0.295411;5.612809;0.0;0.295411;0.295411;3.249521;1.181644;5.612809;74.738983;27.177812;1.181644;0.0;0.295411;4.135754;2.363288;0.0;0.0;0.0;1.181644;59.377611;8.86233
2;1.611205;0.644482;0.0;0.322241;142.108281;24.812557;19.978942;0.966723;0.0;0.966723;0.0;0.0;11.600676;1.933446;47.047186;58.647862;2.255687;1.288964;6.122579;0.966723;0.644482;0.0;0.0;0.0;0.644482;10.311712;0.0;1.933446;0.0;9.344989;0.966723;6.767061;107.628494;33.513064;4.189133;0.644482;0.322241;3.544651;2.577928;0.0;0.0;0.322241;0.322241;70.89302;14.823086
3;3.378408;1.266903;0.0;0.422301;228.04254;37.584789;55.321431;0.0;0.0;0.844602;0.0;0.0;7.179117;0.422301;76.01418;66.301257;1.266903;5.067612;3.378408;0.0;0.0;0.844602;0.0;0.0;3.378408;16.89204;0.0;5.489913;0.844602;25.33806;1.266903;16.047438;180.322527;46.030809;8.023719;0.422301;2.956107;3.800709;5.067612;0.422301;0.0;0.0;0.422301;133.869417;36.740187
4;0.940215;0.313405;0.0;0.62681;81.171895;30.08688;29.146665;0.62681;0.0;0.313405;0.0;0.0;6.89491;0.62681;36.98179;25.0724;0.0;1.25362;3.447455;0.62681;0.0;0.0;0.0;0.313405;1.25362;4.074265;0.0;0.940215;1.25362;9.40215;0.940215;7.835125;72.70996;28.519855;0.940215;1.25362;0.313405;1.25362;2.820645;0.0;0.0;0.0;0.0;65.81505;13.16301
5;4.29365;0.429365;0.85873;0.0;181.621395;38.213485;70.845225;0.85873;0.0;0.429365;0.0;0.429365;5.581745;0.429365;73.85078;58.39364;0.429365;2.146825;6.86984;0.0;0.429365;1.288095;0.0;2.146825;3.005555;11.16349;0.429365;0.0;2.57619;21.038885;0.429365;22.756345;145.554735;45.942055;8.157935;0.85873;0.429365;6.440475;3.43492;0.0;0.0;0.0;3.43492;134.82061;40.789675
