;amber;amethyst;apricot;azure;black;blue;brown;burgundy;cerulean;cobalt;coffee;coral;crimson;emerald;grey;green;indigo;ivory;jade;lavender;lilac;lime;magenta;maroon;olive;orange;ochre;peach;pear;pink;plum;purple;red;rose;ruby;salmon;sapphire;scarlet;silvery;tan;teal;turquoise;violet;white;yellow
1;1;1;0;0;381;85;52;1;0;0;0;0;22;5;166;90;4;3;8;1;5;0;0;0;1;19;0;1;1;11;4;19;253;92;4;0;1;14;8;0;0;0;4;201;30
2;5;2;0;1;441;77;62;3;0;3;0;0;36;6;146;182;7;4;19;3;2;0;0;0;2;32;0;6;0;29;3;21;334;104;13;2;1;11;8;0;0;1;1;220;46
3;8;3;0;1;540;89;131;0;0;2;0;0;17;1;180;157;3;12;8;0;0;2;0;0;8;40;0;13;2;60;3;38;427;109;19;1;7;9;12;1;0;0;1;317;87
4;3;1;0;2;259;96;93;2;0;1;0;0;22;2;118;80;0;4;11;2;0;0;0;1;4;13;0;3;4;30;3;25;232;91;3;4;1;4;9;0;0;0;0;210;42
5;10;1;2;0;423;89;165;2;0;1;0;1;13;1;172;136;1;5;16;0;1;3;0;5;7;26;1;0;6;49;1;53;339;107;19;2;1;15;8;0;0;0;8;314;95
