,ned,catelyn,imp,daenerys,jon,bran,robb,arya,sansa,varys,viserys,rickon,robert,jaime,cersei,tywin,renly,stannis,brienne,petyr,melisandre,joff,drogo,theon,jorah,sandor,bronn,sam,shae,tommen,margaery,benjen,roose,ramsay,hodor,brynden,oberyn,pod,davos,beric
viserys,0.313170442959,0.562335867287,0.7272196847,0.611701476741,0.801210325459,0.746405508507,0.28169522283,0.529607067037,0.43761719772,0.448344998422,0,0.597747933222,0.377828853259,0.600351496637,0.614316606483,0.656919472808,0.35665723619,0.460033161692,0.722875710441,0.500083011548,0.610451437201,0.259730286427,0.325949489457,0.491068392854,1.29548109439,0.962357292302,0.884896685759,0.712036228174,0.52046572359,0.363019345757,0.299963375437,0.176246646135,0.774857509044,0.751114669757,0.790785144183,0.972528038291,0.482772514768,0.935209304326,0.810627220044,0.748250654136
rickon,0.828926074856,1.02523993758,1.18805749674,1.13035086547,0.950872493336,0.763810096005,0.481471306859,0.849939035061,0.735796820461,0.839082622514,0.597747933222,0,0.763030433425,1.2516119514,1.24910897063,1.2107225924,0.822501696832,0.874581663695,1.0853034553,0.832169053311,1.18742769811,0.64230244667,0.880838010164,0.770063337628,1.20825614228,1.09770211403,1.18774422778,0.859894376938,0.603489465629,0.851501840788,0.78025490881,0.652522554409,0.799803561575,0.942762975814,0.541538932586,1.17480112408,0.978244964267,1.17180734539,1.36284078383,1.09969981418
robert,0.228950879413,0.4585629752,0.697417150439,0.6139317553,0.634277480511,0.616182844631,0.334861050482,0.516381824804,0.488167474359,0.343935835503,0.377828853259,0.763030433425,0,0.533829061055,0.613647085091,0.482003761271,0.119545748145,0.119287505,0.610107860778,0.288245320918,0.557885165665,0.231399340231,0.763995339931,0.384315549549,1.05750185508,0.985153050237,0.757253422162,0.717587106626,0.579798115089,0.218679214995,0.291492621636,0.37573852007,0.626702273557,0.575869901816,0.940975232052,0.732256515218,0.797364256871,0.668018138616,0.570783792541,0.46521228522
jaime,0.575194692453,0.261475183082,0.146150266199,0.186691646644,0.450549061486,0.470042116924,0.555154439456,0.301152631775,0.338266655717,0.422359847113,0.600351496637,1.2516119514,0.533829061055,0,0.174433849864,0.538522396592,0.530984845586,0.639865209433,0.209094954212,0.503062027694,0.360727336756,0.511534558863,0.810216012151,0.257348482894,0.810633185545,0.692468540701,0.363837063149,0.344720245846,0.415552234817,0.71422642946,0.536073415822,0.713240781976,0.975178544012,0.729498416003,0.788810418726,0.633588532431,0.842478690218,0.519385571146,0.213983752273,0.686055627332
cersei,0.642568266924,0.249059802432,0.169557323583,0.189574049877,0.433456340188,0.42050517593,0.539093099035,0.263052938666,0.2976279474,0.435201161015,0.614316606483,1.24910897063,0.613647085091,0.174433849864,0,0.583978115101,0.606389521102,0.704784439667,0.185095814344,0.600920458432,0.360787781099,0.510733900787,0.778654343944,0.346361400755,0.922872394942,0.74121595848,0.553443447323,0.298903691356,0.436954806553,0.695358261175,0.434495358862,0.726647440721,0.98344582767,0.764909185647,0.728736647321,0.812503185069,0.806665486855,0.477154230285,0.325706254398,0.754445093759
tywin,0.253498647081,0.622408218684,0.775155221726,0.712925913123,0.875352036382,0.927047520456,0.783033253769,0.637285113675,0.725339430065,0.221553522269,0.656919472808,1.2107225924,0.482003761271,0.538522396592,0.583978115101,0,0.239489836558,0.4092483326,0.822038173894,0.49923981489,0.582441427795,0.768308509677,0.715652689817,0.691980667854,1.11807305671,0.968409114736,0.714964561959,0.925443880285,0.782547698969,0.509128358392,0.766858213622,0.628664598937,1.06736199228,0.386405529661,1.09914638842,0.78416433288,0.838399259007,0.661425221242,0.324560010319,0.0826243608345
renly,0.0812651643586,0.464612927512,0.727751332083,0.656156059033,0.688707930563,0.743500386515,0.39175160341,0.511364721292,0.523828870788,0.166357951027,0.35665723619,0.822501696832,0.119545748145,0.530984845586,0.606389521102,0.239489836558,0,0.166110287793,0.703663088903,0.236449668135,0.540352143625,0.354471784236,0.709974731463,0.425381705892,1.1697315419,1.03043858287,0.792891647344,0.798347584244,0.562710789353,0.243889800217,0.390980215518,0.328948843931,0.729341373191,0.388627026147,0.958365217317,0.77265025872,0.826193028541,0.614353432786,0.468290422883,0.21328928102
stannis,0.250690381155,0.613329362081,0.789007848901,0.704955459924,0.679443772657,0.725551310153,0.414007715567,0.66187759396,0.65193159762,0.417959148964,0.460033161692,0.874581663695,0.119287505,0.639865209433,0.704784439667,0.4092483326,0.166110287793,0,0.743347706527,0.421513799724,0.594873729606,0.313903121205,0.751119989377,0.535891172182,1.28025592379,1.10049593275,0.924970720265,0.902386362376,0.684003698637,0.153178956844,0.410024033085,0.464774369639,0.752001739233,0.620832749794,1.07396710101,1.00293300761,0.821511708003,0.777962497434,0.587176975371,0.394191466103
brienne,0.735290054137,0.226781076102,0.190528284392,0.186876103633,0.329680478132,0.320880896758,0.518267234692,0.300644694995,0.291782442323,0.539980061116,0.722875710441,1.0853034553,0.610107860778,0.209094954212,0.185095814344,0.822038173894,0.703663088903,0.743347706527,0,0.665271592729,0.361561522696,0.502106931454,0.889250187562,0.244425998914,0.947248721008,0.624108842925,0.616053022714,0.190252756457,0.347848786151,0.827608506746,0.499056186399,0.859795681608,0.991404016427,0.849669035041,0.570695877383,0.848859197079,0.885458859103,0.412686785498,0.361964630717,0.918112337961
petyr,0.243643407412,0.392222379036,0.588469852717,0.632413066569,0.581377289021,0.671020199239,0.364661749207,0.482263478284,0.478524380189,0.313582066268,0.500083011548,0.832169053311,0.288245320918,0.503062027694,0.600920458432,0.49923981489,0.236449668135,0.421513799724,0.665271592729,0,0.629564139829,0.474724817993,0.899821549505,0.363570240359,0.939642929059,0.905231301444,0.697960655406,0.704799843894,0.582908832732,0.544556393581,0.520626359399,0.373121681297,0.432026385441,0.406268692528,0.933800732947,0.638324725511,0.934226500249,0.590081309317,0.479277020295,0.442115270015
melisandre,0.527719628265,0.230752490075,0.505956827751,0.319149226005,0.570159882823,0.721435254546,0.610936575459,0.399001345156,0.454665682351,0.500776624582,0.610451437201,1.18742769811,0.557885165665,0.360727336756,0.360787781099,0.582441427795,0.540352143625,0.594873729606,0.361561522696,0.629564139829,0,0.615280824258,0.806924847158,0.497064818682,0.962416418399,0.976125136432,0.687269143563,0.575353473889,0.659248699774,0.597100154796,0.429448404888,0.759511659319,1.00950516983,0.713282629024,0.99500945345,0.81232189148,0.702954471331,0.551882312707,0.405073825806,0.624751940496
joff,0.437014124504,0.457637624193,0.53473710328,0.468256149011,0.56869751828,0.549639582979,0.230222276177,0.466314381959,0.422593257082,0.431228929162,0.259730286427,0.64230244667,0.231399340231,0.511534558863,0.510733900787,0.768308509677,0.354471784236,0.313903121205,0.502106931454,0.474724817993,0.615280824258,0,0.525463078813,0.303501589076,1.18345097722,0.854396430336,0.83351329097,0.530865173246,0.421175270398,0.273324334827,0.217013821935,0.379510356786,0.68461957114,0.824440214929,0.836501149122,0.984963664735,0.680681114648,0.76246363137,0.771067549604,0.791031561918
drogo,0.640687177854,0.89215298211,0.859231521122,0.774678555259,1.06239544711,0.914576911055,0.759844437852,0.823533685144,0.78564086423,0.596810776978,0.325949489457,0.880838010164,0.763995339931,0.810216012151,0.778654343944,0.715652689817,0.709974731463,0.751119989377,0.889250187562,0.899821549505,0.806924847158,0.525463078813,0,0.828191545879,1.37063834645,0.779121708093,0.993587116902,0.863022982428,0.822553143889,0.598794340186,0.683056223785,0.582946244423,1.04179591947,0.863835579642,0.998573596165,1.12435391586,0.182563985367,1.04175550139,0.961652378008,0.836901009328
theon,0.484048880331,0.267254076455,0.299736926484,0.279148157552,0.25434825303,0.350764705155,0.264793305509,0.238834027106,0.209882637748,0.334776428506,0.491068392854,0.770063337628,0.384315549549,0.257348482894,0.346361400755,0.691980667854,0.425381705892,0.535891172182,0.244425998914,0.363570240359,0.497064818682,0.303501589076,0.828191545879,0,0.89705990979,0.715020386129,0.517207924645,0.318451153382,0.263469604788,0.590406211843,0.481036060926,0.575000279445,0.835888459013,0.577708915278,0.575352724507,0.687680136446,0.850362708634,0.477006619311,0.379273656091,0.713550961256
jorah,1.19458116317,0.830216395932,0.840145955034,0.881568821667,0.923362720164,1.00130903257,1.1525434609,0.917239607546,0.919326702923,1.07850874949,1.29548109439,1.20825614228,1.05750185508,0.810633185545,0.922872394942,1.11807305671,1.1697315419,1.28025592379,0.947248721008,0.939642929059,0.962416418399,1.18345097722,1.37063834645,0.89705990979,0,0.827132763196,0.317102519618,0.828364373523,1.13611519211,1.24790350405,1.10728639591,1.22780032228,1.02168701042,0.923022522921,1.14225470562,0.174698147915,1.15340892148,0.746429096878,0.799240562509,1.07714183376
sandor,0.875679599545,0.747423501938,0.664456728004,0.757447037325,0.812633441008,0.952807910879,1.02586454717,0.960370430204,0.936123646457,0.809736298321,0.962357292302,1.09770211403,0.985153050237,0.692468540701,0.74121595848,0.968409114736,1.03043858287,1.10049593275,0.624108842925,0.905231301444,0.976125136432,0.854396430336,0.779121708093,0.715020386129,0.827132763196,0,0.698772041233,0.638575737629,0.906123943352,1.24517458335,0.895527061849,1.12518261376,0.955229802781,0.936891252969,1.00640602805,0.770276582325,0.945965987635,0.450484769122,0.729294107868,0.953983654047
bronn,0.802393800424,0.543899787173,0.497353587386,0.479376878662,0.714004774623,0.719632871775,0.804449716347,0.536920937958,0.554464089725,0.590981930539,0.884896685759,1.18774422778,0.757253422162,0.363837063149,0.553443447323,0.714964561959,0.792891647344,0.924970720265,0.616053022714,0.697960655406,0.687269143563,0.83351329097,0.993587116902,0.517207924645,0.317102519618,0.698772041233,0,0.497207722455,0.652673711433,0.904502498731,0.875065177502,0.904809223506,1.09059648451,0.633436740969,0.969565568212,0.225301779813,0.962010122376,0.610249527025,0.385655419492,0.761350159542
sam,0.856761534754,0.34568931484,0.248788349058,0.240881608281,0.394867653398,0.26031501249,0.519313379233,0.304139440652,0.300026004329,0.519725450912,0.712036228174,0.859894376938,0.717587106626,0.344720245846,0.298903691356,0.925443880285,0.798347584244,0.902386362376,0.190252756457,0.704799843894,0.575353473889,0.530865173246,0.863022982428,0.318451153382,0.828364373523,0.638575737629,0.497207722455,0,0.273324387461,0.925925874246,0.609451375167,0.867938141624,0.982792689347,0.736267496345,0.457590337957,0.834712220302,0.925430177225,0.503026208945,0.460634481416,0.991997378339
shae,0.655452975153,0.41570452668,0.374192698271,0.416229545784,0.422820737751,0.37143854437,0.28788387072,0.246552809849,0.198376381691,0.402172074029,0.52046572359,0.603489465629,0.579798115089,0.415552234817,0.436954806553,0.782547698969,0.562710789353,0.684003698637,0.347848786151,0.582908832732,0.659248699774,0.421175270398,0.822553143889,0.263469604788,1.13611519211,0.906123943352,0.652673711433,0.273324387461,0,0.738413936225,0.565502368518,0.577104789985,0.9651398178,0.66932890623,0.396401392313,1.02341806464,0.98787786696,0.703996031257,0.547865924541,0.829582565226
tommen,0.326061775269,0.630267863408,0.870776043773,0.713390317679,0.883519068301,0.757116892788,0.40033864472,0.644205468471,0.647640988435,0.464335043119,0.363019345757,0.851501840788,0.218679214995,0.71422642946,0.695358261175,0.509128358392,0.243889800217,0.153178956844,0.827608506746,0.544556393581,0.597100154796,0.273324334827,0.598794340186,0.590406211843,1.24790350405,1.24517458335,0.904502498731,0.925925874246,0.738413936225,0,0.364987201835,0.380084451902,0.847901201771,0.751630469279,1.05535706212,0.953649802597,0.69105998154,0.894354446382,0.77462253803,0.519405357927
margaery,0.4319101782,0.307901973874,0.551866693367,0.448642546662,0.684190271166,0.710886608529,0.327671557108,0.513629816276,0.441419424922,0.516516345755,0.299963375437,0.78025490881,0.291492621636,0.536073415822,0.434495358862,0.766858213622,0.390980215518,0.410024033085,0.499056186399,0.520626359399,0.429448404888,0.217013821935,0.683056223785,0.481036060926,1.10728639591,0.895527061849,0.875065177502,0.609451375167,0.565502368518,0.364987201835,0,0.375529525836,0.667773405635,0.883252591794,0.969790002123,0.899835864198,0.770669675637,0.602554616765,0.755033650635,0.818832686961
benjen,0.272527414461,0.561304219644,0.825441730324,0.721687047714,0.905766544097,0.794764130119,0.231211155686,0.518849851994,0.438790584276,0.479217134304,0.176246646135,0.652522554409,0.37573852007,0.713240781976,0.726647440721,0.628664598937,0.328948843931,0.464774369639,0.859795681608,0.373121681297,0.759511659319,0.379510356786,0.582946244423,0.575000279445,1.22780032228,1.12518261376,0.904809223506,0.867938141624,0.577104789985,0.380084451902,0.375529525836,0,0.664375145938,0.732597718818,0.867487147256,0.890240693743,0.750377519857,0.881573869501,0.826940928279,0.667955161988
roose,0.736214410967,0.847943500777,0.849908270844,1.02858148415,0.781671646636,1.00658818371,0.664257494366,1.0348632008,0.977054898216,0.890642364618,0.774857509044,0.799803561575,0.626702273557,0.975178544012,0.98344582767,1.06736199228,0.729341373191,0.752001739233,0.991404016427,0.432026385441,1.00950516983,0.68461957114,1.04179591947,0.835888459013,1.02168701042,0.955229802781,1.09059648451,0.982792689347,0.9651398178,0.847901201771,0.667773405635,0.664375145938,0,0.787811717759,1.22998481756,0.943059578424,0.942070387045,0.96974566619,1.04034850931,0.947555586554
ramsay,0.422305996985,0.70660784443,0.823852401726,0.756259966884,0.54483390715,0.815174146317,0.725464537929,0.679048299217,0.684420296364,0.305159547198,0.751114669757,0.942762975814,0.575869901816,0.729498416003,0.764909185647,0.386405529661,0.388627026147,0.620832749794,0.849669035041,0.406268692528,0.713282629024,0.824440214929,0.863835579642,0.577708915278,0.923022522921,0.936891252969,0.633436740969,0.736267496345,0.66932890623,0.751630469279,0.883252591794,0.732597718818,0.787811717759,0,0.978286277938,0.667633255544,0.786100425897,0.559001870597,0.40276737219,0.290967931364
hodor,1.0004477009,0.804726416459,0.720478392725,0.717880618006,0.655652731621,0.292617537613,0.569314432533,0.485776901512,0.43086197244,0.841515682824,0.790785144183,0.541538932586,0.940975232052,0.788810418726,0.728736647321,1.09914638842,0.958365217317,1.07396710101,0.570695877383,0.933800732947,0.99500945345,0.836501149122,0.998573596165,0.575352724507,1.14225470562,1.00640602805,0.969565568212,0.457590337957,0.396401392313,1.05535706212,0.969790002123,0.867487147256,1.22998481756,0.978286277938,0,1.13292073959,1.093139163,1.00385413939,0.913520356052,1.19281638896
brynden,0.774713020669,0.658222181142,0.804094638236,0.76214292984,0.886756683032,0.952378280051,0.978118952736,0.80157434621,0.775458606182,0.730112344545,0.972528038291,1.17480112408,0.732256515218,0.633588532431,0.812503185069,0.78416433288,0.77265025872,1.00293300761,0.848859197079,0.638324725511,0.81232189148,0.984963664735,1.12435391586,0.687680136446,0.174698147915,0.770276582325,0.225301779813,0.834712220302,1.02341806464,0.953649802597,0.899835864198,0.890240693743,0.943059578424,0.667633255544,1.13292073959,0,0.96439040299,0.595682189114,0.589233922556,0.758836784981
oberyn,0.785981266825,0.950674599769,0.874407303099,0.789924021733,0.93207257321,0.912040851706,0.857658261191,0.885184707774,0.822257812787,0.732636839655,0.482772514768,0.978244964267,0.797364256871,0.842478690218,0.806665486855,0.838399259007,0.826193028541,0.821511708003,0.885458859103,0.934226500249,0.702954471331,0.680681114648,0.182563985367,0.850362708634,1.15340892148,0.945965987635,0.962010122376,0.925430177225,0.98787786696,0.69105998154,0.770669675637,0.750377519857,0.942070387045,0.786100425897,1.093139163,0.96439040299,0,1.06823889254,0.9583130156,0.910386923764
pod,0.55825180335,0.338900727382,0.534030930219,0.46738129006,0.549874244078,0.75765881931,0.770697548718,0.639165458607,0.613747241518,0.461888728004,0.935209304326,1.17180734539,0.668018138616,0.519385571146,0.477154230285,0.661425221242,0.614353432786,0.777962497434,0.412686785498,0.590081309317,0.551882312707,0.76246363137,1.04175550139,0.477006619311,0.746429096878,0.450484769122,0.610249527025,0.503026208945,0.703996031257,0.894354446382,0.602554616765,0.881573869501,0.96974566619,0.559001870597,1.00385413939,0.595682189114,1.06823889254,0,0.363045049655,0.575915807773
davos,0.487712803042,0.345540177201,0.332162284187,0.330074333323,0.433246407682,0.582775859054,0.711263199759,0.428924241307,0.490259288099,0.338606306951,0.810627220044,1.36284078383,0.570783792541,0.213983752273,0.325706254398,0.324560010319,0.468290422883,0.587176975371,0.361964630717,0.479277020295,0.405073825806,0.771067549604,0.961652378008,0.379273656091,0.799240562509,0.729294107868,0.385655419492,0.460634481416,0.547865924541,0.77462253803,0.755033650635,0.826940928279,1.04034850931,0.40276737219,0.913520356052,0.589233922556,0.9583130156,0.363045049655,0,0.381888668768
beric,0.21392027834,0.681749971371,0.906810272628,0.847726726212,0.875559895208,0.995582890074,0.781505071952,0.734047521207,0.828896816814,0.228184567364,0.748250654136,1.09969981418,0.46521228522,0.686055627332,0.754445093759,0.0826243608345,0.21328928102,0.394191466103,0.918112337961,0.442115270015,0.624751940496,0.791031561918,0.836901009328,0.713550961256,1.07714183376,0.953983654047,0.761350159542,0.991997378339,0.829582565226,0.519405357927,0.818832686961,0.667955161988,0.947555586554,0.290967931364,1.19281638896,0.758836784981,0.910386923764,0.575915807773,0.381888668768,0
