,ned,catelyn,imp,daenerys,jon,bran,robb,arya,sansa,varys,viserys,rickon,robert,jaime,cersei,tywin,renly,stannis,brienne,petyr,melisandre,joff,drogo,theon,jorah,sandor,bronn,sam,shae,tommen,margaery,benjen,roose,ramsay,hodor,brynden,oberyn,pod,davos,beric
ned,0,0.445146652517,0.785952419805,0.6626597906,0.768674468104,0.841424729799,0.388436553845,0.5620808967,0.546614817689,0.203135464172,0.313170442959,0.828926074856,0.228950879413,0.575194692453,0.642568266924,0.253498647081,0.0812651643586,0.250690381155,0.735290054137,0.243643407412,0.527719628265,0.437014124504,0.640687177854,0.484048880331,1.19458116317,0.875679599545,0.802393800424,0.856761534754,0.655452975153,0.326061775269,0.4319101782,0.272527414461,0.736214410967,0.422305996985,1.0004477009,0.774713020669,0.785981266825,0.55825180335,0.487712803042,0.21392027834
catelyn,0.445146652517,0,0.30777478604,0.190575894946,0.480241116813,0.565927335175,0.386861513292,0.240511192467,0.22459726072,0.357249842831,0.562335867287,1.02523993758,0.4585629752,0.261475183082,0.249059802432,0.622408218684,0.464612927512,0.613329362081,0.226781076102,0.392222379036,0.230752490075,0.457637624193,0.89215298211,0.267254076455,0.830216395932,0.747423501938,0.543899787173,0.34568931484,0.41570452668,0.630267863408,0.307901973874,0.561304219644,0.847943500777,0.70660784443,0.804726416459,0.658222181142,0.950674599769,0.338900727382,0.345540177201,0.681749971371
imp,0.785952419805,0.30777478604,0,0.183691961889,0.358236016659,0.422382548909,0.552329605239,0.354084116827,0.363703349272,0.522221220455,0.7272196847,1.18805749674,0.697417150439,0.146150266199,0.169557323583,0.775155221726,0.727751332083,0.789007848901,0.190528284392,0.588469852717,0.505956827751,0.53473710328,0.859231521122,0.299736926484,0.840145955034,0.664456728004,0.497353587386,0.248788349058,0.374192698271,0.870776043773,0.551866693367,0.825441730324,0.849908270844,0.823852401726,0.720478392725,0.804094638236,0.874407303099,0.534030930219,0.332162284187,0.906810272628
daenerys,0.6626597906,0.190575894946,0.183691961889,0,0.386868157234,0.414727216038,0.491570681737,0.269928212303,0.247742092754,0.453810118423,0.611701476741,1.13035086547,0.6139317553,0.186691646644,0.189574049877,0.712925913123,0.656156059033,0.704955459924,0.186876103633,0.632413066569,0.319149226005,0.468256149011,0.774678555259,0.279148157552,0.881568821667,0.757447037325,0.479376878662,0.240881608281,0.416229545784,0.713390317679,0.448642546662,0.721687047714,1.02858148415,0.756259966884,0.717880618006,0.76214292984,0.789924021733,0.46738129006,0.330074333323,0.847726726212
jon,0.768674468104,0.480241116813,0.358236016659,0.386868157234,0,0.425577842275,0.52367018047,0.457827171916,0.414071049551,0.606432934653,0.801210325459,0.950872493336,0.634277480511,0.450549061486,0.433456340188,0.875352036382,0.688707930563,0.679443772657,0.329680478132,0.581377289021,0.570159882823,0.56869751828,1.06239544711,0.25434825303,0.923362720164,0.812633441008,0.714004774623,0.394867653398,0.422820737751,0.883519068301,0.684190271166,0.905766544097,0.781671646636,0.54483390715,0.655652731621,0.886756683032,0.93207257321,0.549874244078,0.433246407682,0.875559895208
bran,0.841424729799,0.565927335175,0.422382548909,0.414727216038,0.425577842275,0,0.443386945598,0.300091369297,0.315128780246,0.649651510105,0.746405508507,0.763810096005,0.616182844631,0.470042116924,0.42050517593,0.927047520456,0.743500386515,0.725551310153,0.320880896758,0.671020199239,0.721435254546,0.549639582979,0.914576911055,0.350764705155,1.00130903257,0.952807910879,0.719632871775,0.26031501249,0.37143854437,0.757116892788,0.710886608529,0.794764130119,1.00658818371,0.815174146317,0.292617537613,0.952378280051,0.912040851706,0.75765881931,0.582775859054,0.995582890074
robb,0.388436553845,0.386861513292,0.552329605239,0.491570681737,0.52367018047,0.443386945598,0,0.277876951676,0.201521668173,0.45359438724,0.28169522283,0.481471306859,0.334861050482,0.555154439456,0.539093099035,0.783033253769,0.39175160341,0.414007715567,0.518267234692,0.364661749207,0.610936575459,0.230222276177,0.759844437852,0.264793305509,1.1525434609,1.02586454717,0.804449716347,0.519313379233,0.28788387072,0.40033864472,0.327671557108,0.231211155686,0.664257494366,0.725464537929,0.569314432533,0.978118952736,0.857658261191,0.770697548718,0.711263199759,0.781505071952
arya,0.5620808967,0.240511192467,0.354084116827,0.269928212303,0.457827171916,0.300091369297,0.277876951676,0,0.0673797739966,0.368820543063,0.529607067037,0.849939035061,0.516381824804,0.301152631775,0.263052938666,0.637285113675,0.511364721292,0.66187759396,0.300644694995,0.482263478284,0.399001345156,0.466314381959,0.823533685144,0.238834027106,0.917239607546,0.960370430204,0.536920937958,0.304139440652,0.246552809849,0.644205468471,0.513629816276,0.518849851994,1.0348632008,0.679048299217,0.485776901512,0.80157434621,0.885184707774,0.639165458607,0.428924241307,0.734047521207
sansa,0.546614817689,0.22459726072,0.363703349272,0.247742092754,0.414071049551,0.315128780246,0.201521668173,0.0673797739966,0,0.396503358749,0.43761719772,0.735796820461,0.488167474359,0.338266655717,0.2976279474,0.725339430065,0.523828870788,0.65193159762,0.291782442323,0.478524380189,0.454665682351,0.422593257082,0.78564086423,0.209882637748,0.919326702923,0.936123646457,0.554464089725,0.300026004329,0.198376381691,0.647640988435,0.441419424922,0.438790584276,0.977054898216,0.684420296364,0.43086197244,0.775458606182,0.822257812787,0.613747241518,0.490259288099,0.828896816814
varys,0.203135464172,0.357249842831,0.522221220455,0.453810118423,0.606432934653,0.649651510105,0.45359438724,0.368820543063,0.396503358749,0,0.448344998422,0.839082622514,0.343935835503,0.422359847113,0.435201161015,0.221553522269,0.166357951027,0.417959148964,0.539980061116,0.313582066268,0.500776624582,0.431228929162,0.596810776978,0.334776428506,1.07850874949,0.809736298321,0.590981930539,0.519725450912,0.402172074029,0.464335043119,0.516516345755,0.479217134304,0.890642364618,0.305159547198,0.841515682824,0.730112344545,0.732636839655,0.461888728004,0.338606306951,0.228184567364
